id,tipo,titulo,ementa,url_oficial,relaciona,nota
lei-13415-2017,lei,"Lei nº 13.415, de 16 de fevereiro de 2017",Altera a LDB para reformar o Ensino Médio (formação geral básica e itinerários formativos) e institui a Política de Fomento à Implementação de Escolas de Ensino Médio em Tempo Integral; torna obrigatórios os estudos e práticas de Língua Portuguesa e Matemática nos três anos do Ensino Médio.,https://www.planalto.gov.br/ccivil_03/_ato2015-2018/2017/lei/l13415.htm,EM:altera | em-comp-lp:fundamenta_destaque | em-comp-mat:fundamenta_destaque,
parecer-cne-cp-15-2017,parecer,"Parecer CNE/CP nº 15/2017, aprovado em 15 de dezembro de 2017",Analisa e aprova a Base Nacional Comum Curricular da Educação Infantil e do Ensino Fundamental; fundamentou a Resolução CNE/CP nº 2/2017. Homologado pela Portaria MEC nº 1.570/2017.,https://www.gov.br/mec/pt-br/cne/pdf/pareceres-do-cne/cp/2017/pcp015_17.pdf,bncc-2018:fundamenta,
resolucao-cne-cp-2-2017,resolucao,"Resolução CNE/CP nº 2, de 22 de dezembro de 2017","Institui e orienta a implantação da Base Nacional Comum Curricular, a ser respeitada obrigatoriamente ao longo das etapas e respectivas modalidades no âmbito da Educação Básica.",https://www.gov.br/mec/pt-br/cne/pdf/resolucoes-do-cne/cp/2017/rcp002_17.pdf,bncc-2018:institui | EI:abrange | EF:abrange,
resolucao-cne-ceb-3-2018,resolucao,"Resolução CNE/CEB nº 3, de 21 de novembro de 2018",Atualiza as Diretrizes Curriculares Nacionais para o Ensino Médio.,https://www.gov.br/mec/pt-br/cne/pdf/resolucoes-do-cne/ceb/2018/rceb003_18.pdf,EM:diretrizes,
parecer-cne-cp-15-2018,parecer,"Parecer CNE/CP nº 15/2018, aprovado em 4 de dezembro de 2018",Trata da instituição da Base Nacional Comum Curricular do Ensino Médio (BNCC-EM) e da orientação aos sistemas de ensino para sua implementação; fundamentou a Resolução CNE/CP nº 4/2018. Homologado pela Portaria MEC nº 1.348/2018.,https://www.gov.br/mec/pt-br/cne/pdf/pareceres-do-cne/cp/2018/pcp015_18.pdf,bncc-2018:fundamenta,
resolucao-cne-cp-4-2018,resolucao,"Resolução CNE/CP nº 4, de 17 de dezembro de 2018","Institui a Base Nacional Comum Curricular na Etapa do Ensino Médio (BNCC-EM), como etapa final da Educação Básica.",https://www.gov.br/mec/pt-br/cne/pdf/resolucoes-do-cne/cp/2018/rcp004_18.pdf,bncc-2018:institui | EM:abrange,
resolucao-cne-ceb-1-2021,resolucao,"Resolução CNE/CEB nº 1, de 28 de maio de 2021","Institui Diretrizes Operacionais para a Educação de Jovens e Adultos nos aspectos relativos ao seu alinhamento à Política Nacional de Alfabetização (PNA) e à Base Nacional Comum Curricular (BNCC), e Educação de Jovens e Adultos a Distância.",https://www.gov.br/mec/pt-br/cne/pdf/resolucoes-do-cne/ceb/2021/rceb001_21.pdf,eja:diretrizes,
parecer-cne-ceb-2-2022,parecer,"Parecer CNE/CEB nº 2/2022, aprovado em 17 de fevereiro de 2022","Aprova as Normas sobre Computação na Educação Básica, complemento à Base Nacional Comum Curricular (BNCC). Homologado por despacho ministerial publicado no D.O.U. de 3/10/2022.",https://www.gov.br/mec/pt-br/cne/pdf/pareceres-do-cne/ceb/2022/pceb002_22.pdf,bncc-2018:complementa,O anexo do parecer (objetivos e habilidades de Computação) é o documento-fonte do futuro módulo de Computação: https://www.gov.br/mec/pt-br/cne/pdf/pareceres-do-cne/ceb/2022/anexo-ao-parecer-cneceb-no-2-2022-bncc-computacao.pdf
resolucao-cne-ceb-1-2022,resolucao,"Resolução CNE/CEB nº 1, de 4 de outubro de 2022","Institui as Normas sobre Computação na Educação Básica, complemento à BNCC, na forma do anexo ao Parecer CNE/CEB nº 2/2022.",https://www.gov.br/mec/pt-br/cne/pdf/resolucoes-do-cne/ceb/2022/rceb001_22.pdf,bncc-2018:complementa,
lei-14945-2024,lei,"Lei nº 14.945, de 31 de julho de 2024","Altera a LDB para instituir a Política Nacional de Ensino Médio, redefinindo a carga horária da formação geral básica e a organização dos itinerários formativos do Ensino Médio.",https://www.planalto.gov.br/ccivil_03/_ato2023-2026/2024/lei/l14945.htm,EM:altera,
